
Logfile opened on Fri Jun  2 22:29:28 2017

Fri Jun  2 22:29:28 2017: ^5Client imsofukindunwit 112.134.44.143:37696 ^5entered this server in slot 0 with guid 89d0489c46b1d170fcea01807b71cdda
Fri Jun  2 22:30:38 2017: ^4Client imsofukindunwit 112.134.44.143:37696 ^4left this server from slot 0 with guid 89d0489c46b1d170fcea01807b71cdda
Fri Jun  2 22:32:13 2017: ^5Client imsofukindunwit 112.134.44.143:37696 ^5entered this server in slot 0 with guid 89d0489c46b1d170fcea01807b71cdda
Fri Jun  2 22:37:51 2017: ^4Client imsofukindunwit 112.134.44.143:37696 ^4left this server from slot 0 with guid 89d0489c46b1d170fcea01807b71cdda
Sat Jun  3 08:51:15 2017: ^5Client SonoD-1st-yr 112.135.3.203:44101 ^5entered this server in slot 0 with guid a6405c596b3f01f0646f8454e97cd7bc
Sat Jun  3 08:51:38 2017: ^4Client SonoD-1st-yr 112.135.3.203:44101 ^4left this server from slot 0 with guid a6405c596b3f01f0646f8454e97cd7bc
Sat Jun  3 13:29:45 2017: ^5Client 4p3x_pr3d4t0r 124.43.84.57:28960 ^5entered this server in slot 0 with guid d3ccc66f7b1bf9e77faead1d50a15a0a
Sat Jun  3 13:30:36 2017: ^4Client 4p3x_pr3d4t0r 124.43.84.57:28960 ^4left this server from slot 0 with guid d3ccc66f7b1bf9e77faead1d50a15a0a
Sat Jun  3 15:06:59 2017: ^5Client ub3r_3313 124.43.84.57:28960 ^5entered this server in slot 0 with guid d3ccc66f7b1bf9e77faead1d50a15a0a
Sat Jun  3 15:07:10 2017: ^4Client ub3r_3313 124.43.84.57:28960 ^4left this server from slot 0 with guid d3ccc66f7b1bf9e77faead1d50a15a0a
Sat Jun  3 16:08:34 2017: ^5Client [ZN]SilentKille 112.135.8.134:64954 ^5entered this server in slot 0 with guid 0b6a5a7f553c1219b0786fec239d7ff4
Sat Jun  3 16:08:52 2017: ^4Client [ZN]SilentKille 112.135.8.134:64954 ^4left this server from slot 0 with guid 0b6a5a7f553c1219b0786fec239d7ff4
Sat Jun  3 16:10:55 2017: ^5Client [ZN]SilentKille 112.135.8.134:64954 ^5entered this server in slot 0 with guid 0b6a5a7f553c1219b0786fec239d7ff4
Sat Jun  3 16:15:59 2017: ^4Client [ZN]SilentKille 112.135.8.134:64954 ^4left this server from slot 0 with guid 0b6a5a7f553c1219b0786fec239d7ff4
Sat Jun  3 16:34:50 2017: ^5Client slash 112.134.17.152:34210 ^5entered this server in slot 0 with guid f37cc145b840ace207a54ee6492ea5ef
Sat Jun  3 16:36:10 2017: ^4Client slash 112.134.17.152:34210 ^4left this server from slot 0 with guid f37cc145b840ace207a54ee6492ea5ef
Sat Jun  3 16:36:21 2017: ^5Client slash 112.134.17.152:34210 ^5entered this server in slot 0 with guid f37cc145b840ace207a54ee6492ea5ef
Sat Jun  3 16:36:42 2017: ^4Client slash 112.134.17.152:34210 ^4left this server from slot 0 with guid f37cc145b840ace207a54ee6492ea5ef
Sat Jun  3 18:13:47 2017: ^4Client UD_the_NooB 123.231.123.182:24750 ^4left this server from slot 0 with guid 3dea3d63487f44e23db4fe9e05827dab
Sun Jun  4 08:19:15 2017: ^5Client Rana 112.135.2.137:33412 ^5entered this server in slot 0 with guid 401d1a1326d3972828f323e89cb9e561
Sun Jun  4 08:23:16 2017: ^4Client Rana 112.135.2.137:33412 ^4left this server from slot 0 with guid 401d1a1326d3972828f323e89cb9e561
Sun Jun  4 14:24:11 2017: ^5Client ^3SL[^4Jayyz^3] 123.231.120.196:29222 ^5entered this server in slot 0 with guid dc3de46d728013f45db68f768b8b0ad3
Sun Jun  4 14:25:29 2017: ^4Client ^3SL[^4Jayyz^3] 123.231.120.196:29222 ^4left this server from slot 0 with guid dc3de46d728013f45db68f768b8b0ad3
Sun Jun  4 16:33:00 2017: ^5Client |LeOnarDo|||| 123.231.127.51:65407 ^5entered this server in slot 0 with guid b0eb9fef0f1d5a8e7e8468467b69d00b
Sun Jun  4 16:33:41 2017: ^4Client |LeOnarDo|||| 123.231.127.51:65407 ^4left this server from slot 0 with guid b0eb9fef0f1d5a8e7e8468467b69d00b
Sun Jun  4 16:36:51 2017: ^4Client slash 112.134.16.247:28015 ^4left this server from slot 0 with guid f37cc145b840ace207a54ee6492ea5ef
Sun Jun  4 16:54:00 2017: ^5Client RebelXX 124.43.78.54:28960 ^5entered this server in slot 0 with guid 6eb820eda9d919afa06e9546b445d4f9
Sun Jun  4 16:54:15 2017: ^4Client RebelXX 124.43.78.54:28960 ^4left this server from slot 0 with guid 6eb820eda9d919afa06e9546b445d4f9
Mon Jun  5 17:37:52 2017: ^5Client [AZ]I$ZEE 123.231.123.82:11464 ^5entered this server in slot 0 with guid fad6b536ff09d3ead9bd886503b8a071
Mon Jun  5 17:44:52 2017: ^4Client [AZ]I$ZEE 123.231.123.82:11464 ^4left this server from slot 0 with guid fad6b536ff09d3ead9bd886503b8a071
Tue Jun  6 15:42:12 2017: ^5Client RebelXX 112.134.133.134:28960 ^5entered this server in slot 0 with guid 6eb820eda9d919afa06e9546b445d4f9
Tue Jun  6 15:42:27 2017: ^4Client RebelXX 112.134.133.134:28960 ^4left this server from slot 0 with guid 6eb820eda9d919afa06e9546b445d4f9
Tue Jun  6 16:22:44 2017: ^5Client slash 112.135.1.121:13399 ^5entered this server in slot 0 with guid f37cc145b840ace207a54ee6492ea5ef
Tue Jun  6 16:24:03 2017: ^4Client slash 112.135.1.121:13399 ^4left this server from slot 0 with guid f37cc145b840ace207a54ee6492ea5ef
Tue Jun  6 16:39:48 2017: ^5Client  KissMyAss 123.231.104.192:51149 ^5entered this server in slot 0 with guid d3ccc66f7b1bf9e77faead1d50a15a0a
Tue Jun  6 16:40:19 2017: ^4Client  KissMyAss 123.231.104.192:51149 ^4left this server from slot 0 with guid d3ccc66f7b1bf9e77faead1d50a15a0a
Tue Jun  6 16:40:53 2017: ^5Client RebelXX 112.134.133.134:28960 ^5entered this server in slot 0 with guid 6eb820eda9d919afa06e9546b445d4f9
Tue Jun  6 16:41:29 2017: ^4Client RebelXX 112.134.133.134:28960 ^4left this server from slot 0 with guid 6eb820eda9d919afa06e9546b445d4f9
Tue Jun  6 16:53:11 2017: ^5Client [KR]Eyeless 112.134.6.117:31648 ^5entered this server in slot 0 with guid e7243a374a146967cd59e96bdfe0679c
Tue Jun  6 16:54:18 2017: ^5Client RebelXX 112.134.133.134:28960 ^5entered this server in slot 3 with guid 6eb820eda9d919afa06e9546b445d4f9
Tue Jun  6 16:55:06 2017: ^5Client [vMx] Neo 123.231.120.230:25368 ^5entered this server in slot 1 with guid 646b32845eddc6a816f39a108fe8269f
Tue Jun  6 16:55:07 2017: ^5Client [KR] Draco 112.135.1.13:2458 ^5entered this server in slot 2 with guid 401d1a1326d3972828f323e89cb9e561
Tue Jun  6 16:55:22 2017: ^5Client [vMx]#VAT69 112.134.102.188:52220 ^5entered this server in slot 4 with guid 150c23fa3e4afd09cd003b1149e66341
Tue Jun  6 16:55:30 2017: ^5Client [vMX] isBack 112.134.103.166:1051 ^5entered this server in slot 6 with guid 6b15940236218b1d917a4baf42448b49
Tue Jun  6 16:55:31 2017: ^5Client [vMx] BaRNey 112.134.98.145:8884 ^5entered this server in slot 5 with guid c68ec51d391205dae8e7ba543fb37678
Tue Jun  6 16:57:56 2017: ^4Client [vMx] Neo 123.231.120.230:25368 ^4left this server from slot 1 with guid 646b32845eddc6a816f39a108fe8269f
Tue Jun  6 16:58:26 2017: ^5Client [vMx] Laiya 112.135.1.250:49120 ^5entered this server in slot 7 with guid 5915d149c73701f1f6ad325240db783e
Tue Jun  6 16:58:51 2017: ^4Client [vMx] Laiya 112.135.1.250:49120 ^4left this server from slot 7 with guid 5915d149c73701f1f6ad325240db783e
Tue Jun  6 16:58:53 2017: ^5Client ^3SL[^4Jayyz^3] 123.231.125.67:9193 ^5entered this server in slot 1 with guid dc3de46d728013f45db68f768b8b0ad3
Tue Jun  6 16:59:25 2017: ^5Client imsofukindunwit 123.231.122.160:31276 ^5entered this server in slot 7 with guid 89d0489c46b1d170fcea01807b71cdda
Tue Jun  6 17:01:08 2017: ^5Client ^3SL[^4Jayyz^3] 123.231.104.192:51836 ^5entered this server in slot 8 with guid dc3de46d728013f45db68f768b8b0ad3
Tue Jun  6 17:01:20 2017: ^5Client [vMx] Neo 123.231.120.230:25370 ^5entered this server in slot 9 with guid 646b32845eddc6a816f39a108fe8269f
Tue Jun  6 17:01:21 2017: ^4Client [KR]Eyeless 112.134.6.117:31648 ^4left this server from slot 0 with guid e7243a374a146967cd59e96bdfe0679c
Tue Jun  6 17:01:21 2017: ^4Client ^3SL[^4Jayyz^3] 123.231.125.67:9193 ^4left this server from slot 1 with guid dc3de46d728013f45db68f768b8b0ad3
Tue Jun  6 17:01:21 2017: ^4Client [KR] Draco 112.135.1.13:2458 ^4left this server from slot 2 with guid 401d1a1326d3972828f323e89cb9e561
Tue Jun  6 17:01:21 2017: ^4Client RebelXX 112.134.133.134:28960 ^4left this server from slot 3 with guid 6eb820eda9d919afa06e9546b445d4f9
Tue Jun  6 17:01:21 2017: ^4Client [vMx]#VAT69 112.134.102.188:52220 ^4left this server from slot 4 with guid 150c23fa3e4afd09cd003b1149e66341
Tue Jun  6 17:01:21 2017: ^4Client [vMx] BaRNey 112.134.98.145:8884 ^4left this server from slot 5 with guid c68ec51d391205dae8e7ba543fb37678
Tue Jun  6 17:01:21 2017: ^4Client [vMX] isBack 112.134.103.166:1051 ^4left this server from slot 6 with guid 6b15940236218b1d917a4baf42448b49
Tue Jun  6 17:01:21 2017: ^4Client imsofukindunwit 123.231.122.160:31276 ^4left this server from slot 7 with guid 89d0489c46b1d170fcea01807b71cdda
Tue Jun  6 17:01:21 2017: ^4Client ^3SL[^4Jayyz^3] 123.231.104.192:51836 ^4left this server from slot 8 with guid dc3de46d728013f45db68f768b8b0ad3
Tue Jun  6 17:01:21 2017: ^4Client [vMx] Neo 123.231.120.230:25370 ^4left this server from slot 9 with guid 646b32845eddc6a816f39a108fe8269f
